Scheme_Code,ISIN_Div_Payout_ISIN_Growth,ISIN_Div_Reinvestment,Scheme_Name,Net_Asset_Value,Date,Scheme_Type,Scheme_Category,Mutual_Fund_Family
119551,INF209KA12Z1,INF209KA13Z9,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,106.2668,30-Aug-2024,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund
119552,INF209K01YM2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,115.7045,30-Aug-2024,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund
119553,INF209K01YO8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,106.6995,30-Aug-2024,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund
108272,INF209K01LX6,INF209KA11Z3,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,149.7046,30-Aug-2024,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund
110282,INF209K01LU2,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,111.9008,30-Aug-2024,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund
108274,INF209K01LN7,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,103.2989,30-Aug-2024,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund
110490,INF209K01LR8,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,111.6806,30-Aug-2024,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund
106157,INF209K01LS6,-,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,106.1365,30-Aug-2024,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund
108273,INF209K01LV0,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,342.594,30-Aug-2024,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund
103176,INF209K01LT4,-,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,514.2797,30-Aug-2024,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund
119550,INF209K01YN0,-,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,354.5654,30-Aug-2024,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Aditya Birla Sun Life Mutual Fund
120437,-,INF846K01CU0,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1039.3272,31-Aug-2024,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,Axis Mutual Fund
